代码,简称,截至日期,家数,本期持股数(万股),持股占已流通A股比例(%),同上期增减(万股),持股比例(%),上期家数,明细
600885,宏发股份,2023-12-31,2,1972.7601,1.89,138.73,1.76,2,+展开明细
501,武商集团,2023-12-31,2,1662.4239,2.16,-1245.4508,3.78,3,+展开明细
521,长虹美菱,2023-12-31,4,3965.0268,3.85,619.6099,3.25,4,+展开明细
524,岭南控股,2023-12-31,2,372.9116,0.56,88.2816,0.42,1,+展开明细
528,柳工,2023-12-31,2,3401.0429,1.74,1256.2939,1.1,1,+展开明细
532,华金资本,2023-12-31,1,132.66,0.38,-131.1901,0.77,2,+展开明细
538,云南白药,2023-12-31,1,1129.9766,0.63,216.11,0.51,1,+展开明细
539,粤电力A,2023-12-31,2,3546.367,0.68,-2201.6377,1.09,3,+展开明细
550,江铃汽车,2023-12-31,1,398.44,0.46,-649.68,1.21,3,+展开明细
590,启迪药业,2023-12-31,1,144.37,0.6,144.37,0.0,0,+展开明细
599,青岛双星,2023-12-31,1,402.04,0.49,402.04,0.0,0,+展开明细
607,华媒控股,2023-12-31,1,442.43,0.43,442.43,0.0,0,+展开明细
608,阳光股份,2023-12-31,1,620.624,0.83,620.624,0.0,0,+展开明细
617,中油资本,2023-12-31,1,1878.8579,0.15,1878.8579,0.0,0,+展开明细
628,高新发展,2023-12-31,1,307.0408,0.87,307.0408,0.0,0,+展开明细
629,钒钛股份,2023-12-31,1,2354.1637,0.25,-722.46,0.33,1,+展开明细
655,金岭矿业,2023-12-31,1,210.68,0.35,-8.44,0.37,1,+展开明细
661,长春高新,2023-12-31,5,1954.4458,4.83,-72.2635,5.01,5,+展开明细
680,山推股份,2023-12-31,5,5908.7309,3.94,-1724.2675,5.09,6,+展开明细
1696,宗申动力,2023-12-31,1,335.2011,0.29,-127.1689,0.4,1,+展开明细
708,中信特钢,2023-12-31,1,1218.8222,0.24,1218.8222,0.0,0,+展开明细
728,国元证券,2023-12-31,1,5642.8479,1.29,475.24,1.18,1,+展开明细
738,航发控制,2023-12-31,2,2861.3811,2.18,60.0,2.13,2,+展开明细
739,普洛药业,2023-12-31,3,5766.6004,4.89,-816.8332,5.59,3,+展开明细
750,国海证券,2023-12-31,2,13823.517,2.16,3239.12,1.94,2,+展开明细
756,新华制药,2023-12-31,1,78.3115,0.12,78.3115,0.0,0,+展开明细
768,中航西飞,2023-12-31,4,4949.6181,1.78,-72.9232,1.81,4,+展开明细
776,广发证券,2023-12-31,3,12878.2283,1.69,2925.4736,1.31,2,+展开明细
789,万年青,2023-12-31,2,1153.2222,1.45,-636.2661,2.24,3,+展开明细
795,英洛华,2023-12-31,1,276.73,0.24,11.89,0.23,1,+展开明细
800,一汽解放,2023-12-31,1,644.0,0.14,37.71,0.13,1,+展开明细
801,四川九洲,2023-12-31,2,1461.494,1.43,272.874,1.16,1,+展开明细
807,云铝股份,2023-12-31,1,3397.6283,0.98,54.65,0.96,1,+展开明细
810,创维数字,2023-12-31,1,657.44,0.57,-939.7327,1.39,2,+展开明细
811,冰轮环境,2023-12-31,3,3637.4522,4.76,-115.2329,4.92,3,+展开明细
837,秦川机床,2023-12-31,1,320.44,0.32,-438.7622,0.75,2,+展开明细
862,银星能源,2023-12-31,1,208.17,0.23,-101.83,0.34,1,+展开明细
880,潍柴重机,2023-12-31,3,684.8782,2.07,-308.4654,3.0,4,+展开明细
888,峨眉山A,2023-12-31,3,1070.1989,2.03,-186.61,2.39,3,+展开明细
895,双汇发展,2023-12-31,2,1684.4834,0.49,138.82,0.45,2,+展开明细
898,鞍钢股份,2023-12-31,2,3310.269,0.35,1535.0742,0.19,1,+展开明细
910,大亚圣象,2023-12-31,1,433.07,0.79,433.07,0.0,0,+展开明细
915,华特达因,2023-12-31,2,496.7151,2.12,-575.8012,4.58,4,+展开明细
921,海信家电,2023-12-31,3,1953.8768,1.41,-1039.4843,2.16,4,+展开明细
932,华菱钢铁,2023-12-31,4,22507.1416,3.26,5790.3505,2.42,3,+展开明细
933,神火股份,2023-12-31,1,3654.8957,1.62,-7217.3308,4.83,3,+展开明细
949,新乡化纤,2023-12-31,1,697.49,0.48,697.49,0.0,0,+展开明细
951,中国重汽,2023-12-31,1,1567.5018,1.33,-148.8204,1.46,2,+展开明细
957,中通客车,2023-12-31,1,215.65,0.36,-36.32,0.42,1,+展开明细
965,天保基建,2023-12-31,1,428.078,0.39,-46.18,0.43,1,+展开明细
970,中科三环,2023-12-31,1,521.8594,0.43,-638.8607,0.95,2,+展开明细
975,银泰黄金,2023-12-31,2,10853.4929,3.91,-4347.7014,5.47,3,+展开明细
978,桂林旅游,2023-12-31,1,364.52,0.78,364.52,0.0,0,+展开明细
