,全国排名,学校名称,总分,星级排名,办学层次
0,1,北京大学,100.0,8★,世界一流大学
1,2,清华大学,99.84,8★,世界一流大学
2,3,上海交通大学,80.25,8★,世界一流大学
3,4,浙江大学,80.21,8★,世界一流大学
4,5,武汉大学,77.59,8★,世界一流大学
5,6,南京大学,77.52,8★,世界一流大学
6,6,复旦大学,77.52,8★,世界一流大学
7,8,中国科学技术大学,76.78,8★,世界一流大学
8,9,华中科技大学,76.38,7★,世界知名高水平大学
9,10,中国人民大学,73.75,8★,世界一流大学
10,10,天津大学,73.75,7★,世界知名高水平大学
