iter	Passed	Remaining
571	7465	5586
572	7479	5573
573	7493	5561
574	7505	5547
575	7518	5534
576	7531	5521
577	7547	5510
578	7561	5498
579	7576	5486
580	7591	5474
581	7603	5461
582	7616	5448
583	7630	5435
584	7643	5422
585	7657	5409
586	7670	5396
587	7683	5383
588	7695	5369
589	7708	5356
590	7720	5342
591	7732	5329
592	7745	5316
593	7759	5303
594	7773	5290
595	7783	5276
596	7795	5262
597	7810	5250
598	7823	5237
599	7837	5224
600	7850	5211
601	7863	5198
602	7875	5185
603	7887	5170
604	7900	5158
605	7914	5145
606	7927	5132
607	7937	5117
608	7950	5104
609	7963	5091
610	7976	5078
611	7989	5065
612	8003	5052
613	8016	5039
614	8031	5027
615	8047	5016
616	8062	5004
617	8076	4992
618	8088	4978
619	8101	4965
620	8114	4952
621	8126	4938
622	8139	4925
623	8153	4913
624	8167	4900
625	8179	4886
626	8192	4873
627	8203	4859
628	8217	4846
629	8231	4834
630	8244	4821
631	8256	4807
632	8269	4794
633	8282	4781
634	8296	4768
635	8310	4756
636	8323	4742
637	8336	4730
638	8349	4716
639	8361	4703
640	8375	4690
641	8387	4677
642	8401	4664
643	8415	4652
644	8428	4638
645	8442	4626
646	8458	4615
647	8473	4603
648	8487	4590
649	8499	4576
650	8511	4562
651	8524	4549
652	8537	4536
653	8548	4522
654	8561	4509
655	8574	4496
656	8584	4481
657	8596	4468
658	8609	4454
659	8622	4442
660	8634	4428
661	8648	4415
662	8663	4403
663	8674	4389
664	8688	4376
665	8700	4363
666	8713	4350
667	8725	4336
668	8738	4323
669	8749	4309
670	8761	4295
671	8774	4282
672	8787	4269
673	8799	4256
