iter	Logloss
197	0.4186769089
198	0.418565004
199	0.4184882095
200	0.4183767563
201	0.4182769302
202	0.4182046265
203	0.4181268051
204	0.4180515366
205	0.417944635
206	0.4178875397
207	0.4178246109
208	0.4177593399
209	0.4176908325
210	0.4175947235
211	0.4175067963
212	0.4173798889
213	0.4173148193
214	0.4172255875
215	0.4171690521
216	0.417091629
217	0.4170022095
218	0.4169090881
219	0.4168511414
220	0.4167653
221	0.4166956924
222	0.4166044357
223	0.41654496
224	0.416469931
225	0.4163897064
226	0.416314296
227	0.4162393799
228	0.4161591568
229	0.4160949158
230	0.4160548141
231	0.4159622772
232	0.4158848358
233	0.4158055588
234	0.4157210648
235	0.4156440079
236	0.4155949402
237	0.4154784576
238	0.4154031815
239	0.4153318314
240	0.4152449234
241	0.4151547592
242	0.415072403
243	0.4150060364
244	0.4149492599
245	0.4148624359
246	0.414778801
247	0.4147130493
248	0.4146539413
249	0.4145748825
250	0.4145123962
251	0.4144435898
252	0.4143842773
253	0.4143374374
254	0.4142715744
255	0.4142172318
256	0.4141523895
257	0.4140829819
258	0.4139903915
259	0.4138816742
260	0.4137860199
261	0.413689856
262	0.4136147537
263	0.4135425537
264	0.4134467072
265	0.4133769684
266	0.4133113037
267	0.413240065
268	0.4131665344
269	0.4131042023
270	0.4130073578
271	0.4129436905
272	0.4128799164
273	0.412810643
274	0.4127513428
275	0.41269207
276	0.4125847794
277	0.412531572
278	0.4124805511
279	0.4124242462
280	0.4123627243
281	0.412302243
282	0.4122037003
283	0.4121510941
284	0.4120928909
285	0.4120313889
286	0.4119496994
287	0.4118847549
288	0.4117771561
289	0.4117277573
290	0.4116673111
291	0.4115950363
292	0.4115257858
293	0.4114591415
294	0.4113750626
295	0.4113179962
296	0.4112024933
297	0.4111543259
298	0.4110970886
299	0.4110267334
300	0.4109419388
301	0.4108604019
302	0.4108041275
303	0.4107638565
304	0.4106965561
305	0.4106425354
306	0.4105699387
307	0.4104886322
308	0.4104242279
309	0.4103566788
310	0.4102894424
311	0.4102142334
312	0.4101303299
313	0.4100823959
314	0.4100129257
315	0.4099490021
316	0.4098895538
317	0.4098292252
318	0.4097618484
319	0.409706221
320	0.4096486252
321	0.4095803391
322	0.4095348572
323	0.4094295212
324	0.4093689178
325	0.4092987503
326	0.4092139847
327	0.4091077179
328	0.4090551224
329	0.4089742661
330	0.4088942627
331	0.4088099838
332	0.4087501663
333	0.4086910294
334	0.4086430206
335	0.4085833466
336	0.4085242813
337	0.4084730286
338	0.4084100235
339	0.4083616211
340	0.4082917053
341	0.4082175308
342	0.40811026
343	0.4080521896
344	0.408004483
345	0.4079180511
346	0.4078596252
347	0.4078084854
348	0.4077316925
349	0.4076788132
350	0.4075945618
351	0.4075373795
352	0.4074740189
353	0.4074136505
354	0.4073565887
355	0.4073018417
356	0.4072415527
357	0.4071741241
358	0.4071141541
359	0.4070565491
360	0.4069976028
361	0.4069474869
362	0.4068872803
363	0.406831752
364	0.4067649567
365	0.4067041962
366	0.4066514069
367	0.4065798386
368	0.4065201279
369	0.4064201401
370	0.4063666824
371	0.4063061234
372	0.4062642746
373	0.406223259
374	0.4061805893
375	0.4061361069
376	0.4060704651
377	0.4060154358
378	0.4059652649
379	0.4059059052
380	0.4058537354
381	0.4058145859
382	0.4057521454
383	0.4056923981
384	0.4056261963
385	0.4055786926
386	0.4055323898
387	0.4054736145
388	0.4054265381
389	0.4053654572
390	0.4053059097
391	0.4052410904
392	0.405209108
393	0.4051589432
394	0.4051054123
395	0.4050501511
396	0.4050055939
397	0.4049370819
398	0.4048702835
399	0.4048143539
400	0.4047734619
401	0.4047193314
402	0.4046695984
403	0.4046157242
404	0.4045584015
405	0.4045082306
406	0.4044473312
407	0.4043874191
408	0.4043277161
409	0.4042544754
410	0.404183873
411	0.4041432663
412	0.4040929977
413	0.4040492905
414	0.4040055008
415	0.4039591705
416	0.403889296
417	0.4038446472
418	0.4037901978
419	0.4037406357
420	0.4036857162
421	0.4036239868
422	0.4035449234
423	0.4034773285
424	0.4034169769
425	0.4033414597
426	0.4032796707
427	0.4032271133
428	0.403171431
429	0.4031076141
430	0.4030467865
431	0.4030060776
432	0.4029481995
433	0.4028992691
434	0.4028612305
435	0.4027907089
436	0.4027351273
437	0.402671199
438	0.4026099854
439	0.4025526962
440	0.4025089447
441	0.4024372437
442	0.4023740753
443	0.4023094299
444	0.402266922
445	0.4022174469
446	0.4021738052
447	0.4021234207
448	0.4020743881
449	0.4020179214
450	0.4019733322
451	0.4018946991
452	0.4017976883
453	0.401735701
454	0.4016733139
455	0.4016224655
456	0.4015601395
457	0.4015231308
458	0.4014565063
459	0.4013882767
460	0.4013490219
461	0.4012771698
462	0.4012275375
463	0.4011814163
464	0.4011333832
465	0.4010932922
466	0.4010444839
467	0.4009901535
468	0.4009175797
469	0.4008619888
470	0.4008121155
471	0.4007603867
472	0.4007233185
473	0.4006575485
474	0.4006003036
475	0.4005647202
476	0.4005334961
477	0.4004743851
478	0.40041474
479	0.4003663177
480	0.4003275467
481	0.4002741882
482	0.4002188431
483	0.4001694611
484	0.4001069382
485	0.400061998
486	0.4000153976
487	0.3999625809
488	0.3998944641
489	0.3998528351
490	0.3998109711
491	0.3997638199
492	0.3997130081
493	0.3996748184
494	0.3996176773
495	0.3995342804
496	0.3994848831
497	0.3994314178
498	0.3993931351
499	0.3993437561
500	0.3992970016
501	0.3992464233
502	0.3991703644
503	0.399124556
504	0.3990835938
505	0.3990421494
506	0.398986586
507	0.3989484055
508	0.3988925491
509	0.3988357941
510	0.3987769714
511	0.3987370361
512	0.3986716141
513	0.3986291458
514	0.3985650833
515	0.3985250443
516	0.398472226
517	0.3984123306
518	0.3983547043
519	0.3983074997
520	0.3982605377
521	0.3982030228
522	0.398151001
523	0.398083577
524	0.3980398178
525	0.3979910065
526	0.3979272629
527	0.3978767776
528	0.3978238968
529	0.3977696213
530	0.397707753
531	0.3976639282
532	0.3976037674
533	0.3975688614
534	0.3975253815
535	0.3974680206
536	0.3974037277
537	0.3973171417
538	0.397277681
539	0.3972366379
540	0.3972010757
541	0.3971521133
542	0.3970981949
543	0.3970380051
544	0.3969704071
545	0.3969109131
546	0.3968847214
547	0.3968189255
548	0.396771785
549	0.39670746
550	0.3966712036
551	0.3966331543
552	0.3965805054
553	0.3965355865
554	0.3964895477
555	0.3964486938
556	0.3963857605
557	0.3963434555
558	0.3962930649
559	0.3962529449
560	0.3962032333
561	0.3961554291
562	0.3960931946
563	0.3960500778
564	0.3959896591
565	0.3959458267
566	0.39588694
567	0.3958491394
568	0.3957902542
569	0.3957304077
570	0.3956843353
571	0.3956278702
572	0.3955905029
573	0.3955413101
574	0.3955063675
575	0.3954510986
576	0.3953877823
577	0.3953525162
578	0.3953063187
579	0.395263652
580	0.3952030472
581	0.3951473923
582	0.3950985825
583	0.3950581009
584	0.3950157166
585	0.3949791412
586	0.3949207306
587	0.3948739746
588	0.3948184402
589	0.3947706894
590	0.3947019714
591	0.3946524521
592	0.3945847061
593	0.3945364609
594	0.3944902344
595	0.3944266998
596	0.3943676331
597	0.3943029144
598	0.3942418854
599	0.3941968536
600	0.3941437424
601	0.3940858322
602	0.3940306229
603	0.3939674942
604	0.393924324
605	0.3938877396
606	0.3938464569
607	0.3937953049
608	0.3937384125
609	0.3936999863
610	0.3936585938
611	0.3936251343
612	0.3935900101
613	0.3935310196
614	0.3935013229
615	0.3934572433
616	0.3934059357
617	0.3933648041
618	0.3933164291
619	0.3932865906
620	0.3932393112
621	0.3931962524
622	0.3931299347
623	0.3930945938
624	0.3930407852
625	0.392998497
626	0.3929549683
627	0.3928915298
628	0.3928460464
629	0.3927866257
630	0.3926995682
631	0.3926397018
632	0.3925983231
633	0.3925596237
634	0.392515477
635	0.3924738449
636	0.3924424179
637	0.392417569
638	0.3923653717
639	0.3923223755
640	0.3922575348
641	0.3922115768
642	0.3921548065
643	0.3921076111
644	0.3920651779
645	0.3920276535
646	0.391959697
647	0.3919171524
648	0.3918756912
649	0.391836058
650	0.3917984924
651	0.3917436462
652	0.3917020294
653	0.3916466187
654	0.3916007874
655	0.3915634918
656	0.3915032379
657	0.391470726
658	0.3914416626
659	0.3914028625
660	0.3913418076
661	0.3913014954
662	0.3912401001
663	0.3911844315
664	0.3911377701
665	0.3910670792
666	0.3910164841
667	0.3909827286
668	0.3909314163
669	0.3908741669
670	0.3908412781
671	0.3907775055
672	0.3907405762
673	0.3906974823
