iter	Logloss
0	0.6329151031
1	0.5871097137
2	0.555528537
3	0.5294555725
4	0.5117364075
5	0.4967303558
6	0.4865869965
7	0.4774885315
8	0.4700500336
9	0.4647112701
10	0.4604888611
11	0.4573546112
12	0.4548368195
13	0.453265863
14	0.45130672
15	0.4501551361
16	0.449048938
17	0.4475767456
18	0.446776413
19	0.446130423
20	0.4455884338
21	0.4451357758
22	0.4447270813
23	0.4440401398
24	0.4436394073
25	0.4433063599
26	0.4428195068
27	0.4422950714
28	0.4418528564
29	0.4415007996
30	0.4411910828
31	0.4408801025
32	0.440627243
33	0.440385434
34	0.4401636017
35	0.4399066803
36	0.4396763
37	0.4395030396
38	0.4393272949
39	0.4391485992
40	0.4388946564
41	0.4386699127
42	0.438476709
43	0.4383486694
44	0.4381828033
45	0.4379303894
46	0.4376736572
47	0.4374774841
48	0.4373319031
49	0.437178241
50	0.4369514801
51	0.4367690125
52	0.4365439514
53	0.4362406281
54	0.4360436188
55	0.4358889984
56	0.4356807617
57	0.4354280487
58	0.4353366089
59	0.4351702789
60	0.4350127655
61	0.434882605
62	0.4347708466
63	0.4345274078
64	0.4343928955
65	0.4342776093
66	0.4341215057
67	0.4338941833
68	0.4337140045
69	0.4334735077
70	0.4333806427
71	0.4332497375
72	0.433185144
73	0.4330503693
74	0.4329148438
75	0.4327065033
76	0.4325553253
77	0.4324262665
78	0.4323114044
79	0.4321350433
80	0.432031842
81	0.4319254517
82	0.4318227081
83	0.4316503265
84	0.4315164978
85	0.4313644592
86	0.4312458923
87	0.4311046875
88	0.4308938141
89	0.4308025696
90	0.4306711548
91	0.4304932648
92	0.4303685303
93	0.4302605072
94	0.4301763611
95	0.4298975525
96	0.4297799927
97	0.4296773102
98	0.4295789215
99	0.4294316589
100	0.4292665131
101	0.429171228
102	0.4290457275
103	0.4288989929
104	0.428768222
105	0.4285851074
106	0.4283928772
107	0.4282353088
108	0.4281338654
109	0.4280151917
110	0.4278570587
111	0.4276874512
112	0.4275833893
113	0.4274593781
114	0.4273369781
115	0.4272249512
116	0.427094754
117	0.4269663025
118	0.4268716888
119	0.4267408264
120	0.4265296082
121	0.4263879089
122	0.4262705017
123	0.4260870056
124	0.4260127136
125	0.4259018982
126	0.4258023376
127	0.4256696198
128	0.4255456421
129	0.4254495392
130	0.4253400391
131	0.4251888184
132	0.4250834839
133	0.424990509
134	0.4248990387
135	0.4248172638
136	0.4247025238
137	0.4246072723
138	0.4245108185
139	0.4244112762
140	0.4243223267
141	0.4241902191
142	0.4241039612
143	0.424029306
144	0.4239414215
145	0.423858075
146	0.4237297302
147	0.4235854034
148	0.4234981903
149	0.4234263397
150	0.4233130188
151	0.4231762634
152	0.4230686493
153	0.4230050018
154	0.422900882
155	0.4227679382
156	0.4226485657
157	0.4225476318
158	0.4224259613
159	0.4223139404
160	0.4221553192
161	0.4220566589
162	0.4219522034
163	0.4218340973
164	0.4217291992
165	0.4216499023
166	0.4215512787
167	0.4214649628
168	0.42138396
169	0.4212899078
170	0.4211739502
171	0.4211086121
172	0.4210045563
173	0.4209011993
174	0.4208148254
175	0.4207147888
176	0.4206090942
177	0.4205299393
178	0.4204386108
179	0.4203421555
180	0.4202788712
181	0.4202094788
182	0.4200616653
183	0.419976828
184	0.4198665115
185	0.4197586273
186	0.4196599014
187	0.4195607681
188	0.4194666199
189	0.419378595
190	0.4193169342
191	0.4192075317
192	0.4191342255
193	0.4190571518
194	0.4189838669
195	0.4189047531
196	0.4188080093
