,年份,创新指数,私营企业工商注册登记户数（户）,就业人员数（万人）,居民消费价格指数((上年=100)),城镇居民人均可支配收入（元）,实际利用外资额(万美元),GDP(亿元),第二产业增加值,第三产业增加值,高等教育在校学生数(人),专利申请授权数,金融机构人民币各项贷款余额（亿元）,一般公共预算支出（亿元）,医疗卫生机构数,地区
185,2001年,0.0111296992481203,11842,106.4,98.5,11365.0,115300,556.39,296.96,236.92,28000,1509,506.36,76.95,23,厦门市
186,2002年,0.0113201877934272,12056,106.5,98.4,11768.0,119000,648.36,361.61,264.21,32500,1779,645.91,88.38,26,厦门市
187,2003年,0.0155654496883348,17480,112.3,101.0,12915.0,124300,760.12,443.61,296.66,40400,2395,832.34,113.02,26,厦门市
188,2004年,0.016751867219917,20186,120.5,103.1,14443.0,57000,883.21,523.94,339.37,61100,1434,1040.95,128.63,27,厦门市
189,2005年,0.0167627240143369,23384,139.5,101.0,16403.0,70700,1029.55,572.11,436.87,64600,1507,1212.69,140.36,28,厦门市
190,2006年,0.0199266842800528,30169,151.4,100.85,18513.0,95500,1162.37,627.95,516.13,79987,1992,1643.78,159.13,37,厦门市
191,2007年,0.0236365448504983,35573,150.5,104.57,21503.0,127200,1387.85,736.95,632.39,105545,2402,2148.32,198.66,38,厦门市
192,2008年,0.0256405472636816,41230,160.8,104.9,23948.0,204200,1560.02,818.04,720.48,108919,2330,2369.44,238.09,38,厦门市
193,2009年,0.0264296619411123,48472,183.4,97.3,26131.0,168700,1737.0,821.03,895.71,131451,2986,2989.65,268.05,35,厦门市
194,2010年,0.0274420091324201,60098,219.0,103.0,29253.0,169700,2060.1,1024.5,1012.5,128470,5040,3165.14,306.95,35,厦门市
195,2011年,0.0272435897435897,63750,234.0,105.2,33601.0,170000,2539.31,1297.15,1217.48,135722,7367,3826.79,389.07,38,厦门市
196,2012年,0.0309363265306122,75794,245.0,102.1,37642.0,173000,2817.1,1374.0,1417.9,143964,9036,4343.2,460.98,40,厦门市
197,2013年,0.0382893280632411,96872,253.0,102.3,41405.0,159000,3018.16,1434.79,1557.38,152546,10325,5028.89,516.74,41,厦门市
198,2014年,0.0428787878787879,113200,264.0,102.2,39612.0,186000,3273.58,1460.34,1789.5,158346,11872,5701.86,548.25,45,厦门市
199,2015年,0.0568561594202899,156923,276.0,101.7,42631.0,197000,3466.03,1511.28,1930.82,143992,12008,6619.86,651.17,46,厦门市
200,2016年,0.0716901408450704,203600,284.0,101.7,46309.0,209000,3784.27,1544.74,2216.44,142948,16274,7657.38,758.64,49,厦门市
201,2017年,0.0889010309278351,258702,291.0,102.0,50032.0,222000,4351.7,1812.2,2516.0,140266,18835,8760.34,797.1,49,厦门市
202,2018年,0.101282828282828,300810,297.0,101.8,54407.0,238000,4791.41,1980.16,2786.85,162459,20019,9662.66,892.5,51,厦门市
203,2019年,0.117464473684211,357092,304.0,103.0,59013.0,162000,5995.0,2493.99,3474.56,156642,23014,10892.66,912.98,57,厦门市
204,2020年,0.122948717948718,383600,312.0,102.5,61309.0,198000,6384.0,2520.0,3835.0,169288,29598,12548.35,976.91,65,厦门市
205,2021年,0.129777070063694,407500,314.0,101.2,67210.0,287000,7033.89,2882.89,4121.94,178179,36536,15317.06,1060.0,68,厦门市
206,2022年,0.137269841269841,432400,315.0,101.8,70506.0,221000,7802.66,3233.56,4539.83,182439,38442,16538.72,1088.74,70,厦门市
